accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution	F_coverage	G_coverage	genome_coverage
MG642057	MG642057.1	MG642057	1984-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	0.996
MG642039	MG642039.1	MG642039	1985-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	1.000
MG642042	MG642042.1	MG642042	1985-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	0.996
MG642051	MG642051.1	MG642051	1986-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	0.994	0.995
MG642068	MG642068.1	MG642068	1987-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	0.994	0.995
MG642076	MG642076.1	MG642076	1987-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	0.994	0.995
MG642036	MG642036.1	MG642036	1989-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	0.996
MG642082	MG642082.1	MG642082	1989-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	0.996
MG642066	MG642066.1	MG642066	1990-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	0.996
OK649745	OK649745.1	OK649745	1990-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.		1.000	1.000	1.000
KX892718	KX892718.1	KX892718	1991-XX-XX	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.261	0.016
KX892720	KX892720.1	KX892720	1991-XX-XX	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.261	0.016
MG642027	MG642027.1	MG642027	1991-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	0.996
MG642054	MG642054.1	MG642054	1991-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	0.996
MG642072	MG642072.1	MG642072	1991-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	0.996
OK649749	OK649749.1	OK649749	1991-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.		1.000	1.000	1.000
AF193328	AF193328.1	91001	1991-01-XX	Asia	South Korea	Seoul			1999-12-27		Choi et al		Choi,E.H., Lee,H.J.		0.000	0.876	0.054
AF193329	AF193329.1	91080	1991-03-XX	Asia	South Korea	Seoul			1999-12-27		Choi et al		Choi,E.H., Lee,H.J.		0.000	0.876	0.054
AF193330	AF193330.1	91088	1991-03-XX	Asia	South Korea	Seoul			1999-12-27		Choi et al		Choi,E.H., Lee,H.J.		0.000	0.876	0.054
AF193331	AF193331.1	91110	1991-03-XX	Asia	South Korea	Seoul			1999-12-27		Choi et al		Choi,E.H., Lee,H.J.		0.000	0.876	0.054
AF193332	AF193332.1	91141	1991-04-XX	Asia	South Korea	Seoul			1999-12-27		Choi et al		Choi,E.H., Lee,H.J.		0.000	0.876	0.054
OK649747	OK649747.1	OK649747	1992-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.		1.000	1.000	0.999
OK649748	OK649748.1	OK649748	1992-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.		1.000	1.000	0.999
MG642049	MG642049.1	MG642049	1993-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	0.996
AF193333	AF193333.1	93366	1993-10-XX	Asia	South Korea	Seoul			1999-12-27		Choi et al		Choi,E.H., Lee,H.J.		0.000	0.876	0.054
AF193334	AF193334.1	93418	1993-12-XX	Asia	South Korea	Seoul			1999-12-27		Choi et al		Choi,E.H., Lee,H.J.		0.000	0.876	0.054
OK649750	OK649750.1	OK649750	1994-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.		1.000	1.000	1.000
OK649751	OK649751.1	OK649751	1994-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.		1.000	1.000	1.000
OK649752	OK649752.1	OK649752	1994-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.		1.000	1.000	0.999
AF086876	AF086876.1	184002	1994-03-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.		0.000	0.137	0.009
AF086877	AF086877.1	18443	1994-03-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.		0.000	0.137	0.009
AF193335	AF193335.1	94055	1994-03-XX	Asia	South Korea	Seoul			1999-12-27		Choi et al		Choi,E.H., Lee,H.J.		0.000	0.876	0.054
AF086878	AF086878.1	185413	1994-04-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.		0.000	0.142	0.009
AF086879	AF086879.1	193563	1994-12-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.		0.000	0.142	0.009
AF193336	AF193336.1	94212	1994-12-XX	Asia	South Korea	Seoul			1999-12-27		Choi et al		Choi,E.H., Lee,H.J.		0.000	0.876	0.054
MG642064	MG642064.1	MG642064	1995-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	0.996
OK649740	OK649740.1	OK649740	1995-XX-XX	North America	Canada			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.		1.000	1.000	0.998
OK649746	OK649746.1	OK649746	1995-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.		1.000	1.000	1.000
AF193337	AF193337.1	95043	1995-02-XX	Asia	South Korea	Seoul			1999-12-27		Choi et al		Choi,E.H., Lee,H.J.		0.000	0.876	0.054
AF086887	AF086887.1	198921	1995-04-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.		0.000	0.142	0.009
AF086889	AF086889.1	204664	1995-11-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.		0.000	0.139	0.009
AF086890	AF086890.1	204682	1995-11-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.		0.000	0.142	0.009
AF193338	AF193338.1	95100	1995-11-XX	Asia	South Korea	Seoul			1999-12-27		Choi et al		Choi,E.H., Lee,H.J.		0.000	0.873	0.054
AF086892	AF086892.1	205464	1995-12-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.		0.000	0.142	0.009
AF086893	AF086893.1	205865	1995-12-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.		0.000	0.142	0.009
MG642062	MG642062.1	MG642062	1996-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	0.996
AF086894	AF086894.1	206145	1996-01-XX	North America	USA	Birmingham			1998-09-24		Coggins et al		Coggins,W.B., Lefkowitz,E.J., Sullender,W.M.		0.000	0.142	0.009
MF496536	MF496536.1	89-50	2000-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
MF496537	MF496537.1	89-55	2000-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
MF496538	MF496538.1	89-56	2000-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
MF496539	MF496539.1	89-58	2000-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.641	0.040
MF496540	MF496540.1	89-59	2000-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
JN968342	JN968342.1	V00-2220940	2000-08-14	Asia	Hong Kong			Homo sapiens	2012-01-10		Mak et al		Mak,G.C., Lau,C.S., Chiu,D.M.Y., Lim,W.		0.000	0.280	0.018
JN968294	JN968294.1	V00-2221879	2000-08-22	Asia	Hong Kong			Homo sapiens	2012-01-10		Mak et al		Mak,G.C., Lau,C.S., Chiu,D.M.Y., Lim,W.		0.000	0.280	0.018
JN968287	JN968287.1	V00-2228159	2000-11-05	Asia	Hong Kong			Homo sapiens	2012-01-10		Mak et al		Mak,G.C., Lau,C.S., Chiu,D.M.Y., Lim,W.		0.000	0.280	0.018
MF496541	MF496541.1	90-163	2001-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
MF496542	MF496542.1	90-166	2001-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
MF496543	MF496543.1	90-167	2001-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.700	0.043
MF496544	MF496544.1	90-168	2001-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.641	0.040
MF496545	MF496545.1	90-169	2001-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
JN968288	JN968288.1	V01-2205681	2001-03-03	Asia	Hong Kong			Homo sapiens	2012-01-10		Mak et al		Mak,G.C., Lau,C.S., Chiu,D.M.Y., Lim,W.		0.000	0.280	0.018
JN968289	JN968289.1	V01-2214588	2001-06-01	Asia	Hong Kong			Homo sapiens	2012-01-10		Mak et al		Mak,G.C., Lau,C.S., Chiu,D.M.Y., Lim,W.		0.000	0.280	0.018
JN968290	JN968290.1	V01-2218932	2001-07-16	Asia	Hong Kong			Homo sapiens	2012-01-10		Mak et al		Mak,G.C., Lau,C.S., Chiu,D.M.Y., Lim,W.		0.000	0.280	0.018
MF496546	MF496546.1	91-332	2002-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
MF496547	MF496547.1	91-337	2002-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
MF496548	MF496548.1	91-344	2002-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
MF496549	MF496549.1	91-355	2002-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
KP862056	KP862056.1	KP862056	2002-07-06	Africa	Kenya	Kilifi District		Homo sapiens	2015-05-19		Agoti et al		Agoti,C.N., Otieno,J.R., Ngama,M., Mwihuri,A.G., Medley,G.F., Cane,P.A., Nokes,D.J.		0.000	0.626	0.040
KP862057	KP862057.1	KP862057	2002-12-26	Africa	Kenya	Kilifi District		Homo sapiens	2015-05-19		Agoti et al		Agoti,C.N., Otieno,J.R., Ngama,M., Mwihuri,A.G., Medley,G.F., Cane,P.A., Nokes,D.J.		0.000	0.626	0.040
KP862058	KP862058.1	KP862058	2002-12-27	Africa	Kenya	Kilifi District		Homo sapiens	2015-05-19		Agoti et al		Agoti,C.N., Otieno,J.R., Ngama,M., Mwihuri,A.G., Medley,G.F., Cane,P.A., Nokes,D.J.		0.000	0.626	0.040
KP862059	KP862059.1	KP862059	2002-12-31	Africa	Kenya	Kilifi District		Homo sapiens	2015-05-19		Agoti et al		Agoti,C.N., Otieno,J.R., Ngama,M., Mwihuri,A.G., Medley,G.F., Cane,P.A., Nokes,D.J.		0.000	0.626	0.040
MF496550	MF496550.1	92-125	2003-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
MF496551	MF496551.1	92-131	2003-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
MF496552	MF496552.1	92-135	2003-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.700	0.043
MF496553	MF496553.1	92-138	2003-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.705	0.043
MF496554	MF496554.1	92-147	2003-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.		0.000	0.700	0.043
KP862060	KP862060.1	KP862060	2003-01-03	Africa	Kenya	Kilifi District		Homo sapiens	2015-05-19		Agoti et al		Agoti,C.N., Otieno,J.R., Ngama,M., Mwihuri,A.G., Medley,G.F., Cane,P.A., Nokes,D.J.		0.000	0.626	0.040
KP862061	KP862061.1	KP862061	2003-01-08	Africa	Kenya	Kilifi District		Homo sapiens	2015-05-19		Agoti et al		Agoti,C.N., Otieno,J.R., Ngama,M., Mwihuri,A.G., Medley,G.F., Cane,P.A., Nokes,D.J.		0.000	0.626	0.040
KP862062	KP862062.1	KP862062	2003-01-13	Africa	Kenya	Kilifi District		Homo sapiens	2015-05-19		Agoti et al		Agoti,C.N., Otieno,J.R., Ngama,M., Mwihuri,A.G., Medley,G.F., Cane,P.A., Nokes,D.J.		0.000	0.626	0.040
KP862063	KP862063.1	KP862063	2003-01-14	Africa	Kenya	Kilifi District		Homo sapiens	2015-05-19		Agoti et al		Agoti,C.N., Otieno,J.R., Ngama,M., Mwihuri,A.G., Medley,G.F., Cane,P.A., Nokes,D.J.		0.000	0.626	0.040
KP862064	KP862064.1	KP862064	2003-01-17	Africa	Kenya	Kilifi District		Homo sapiens	2015-05-19		Agoti et al		Agoti,C.N., Otieno,J.R., Ngama,M., Mwihuri,A.G., Medley,G.F., Cane,P.A., Nokes,D.J.		0.000	0.689	0.043
KP862065	KP862065.1	KP862065	2003-01-19	Africa	Kenya	Kilifi District		Homo sapiens	2015-05-19		Agoti et al		Agoti,C.N., Otieno,J.R., Ngama,M., Mwihuri,A.G., Medley,G.F., Cane,P.A., Nokes,D.J.		0.000	0.626	0.040
KP862066	KP862066.1	KP862066	2003-01-19	Africa	Kenya	Kilifi District		Homo sapiens	2015-05-19		Agoti et al		Agoti,C.N., Otieno,J.R., Ngama,M., Mwihuri,A.G., Medley,G.F., Cane,P.A., Nokes,D.J.		0.000	0.626	0.040
